"id";"Gender";"Age";"Driving_License";"Region_Code";"Previously_Insured";"Vehicle_Age";"Vehicle_Damage";"Annual_Premium";"Policy_Sales_Channel";"Vintage";"Response"
16191;"Male";56;0;28;0;"1-2 Year";"Yes";38035;13;208;0
16192;"Male";25;1;11;1;"< 1 Year";"No";41954;152;173;0
16193;"Female";22;1;25;1;"< 1 Year";"Yes";26619;152;35;0
16194;"Male";21;1;27;0;"< 1 Year";"Yes";29951;160;27;0
16195;"Male";48;1;3;0;"1-2 Year";"Yes";42388;26;23;0
16196;"Female";49;1;28;0;"1-2 Year";"Yes";44939;26;153;1
16197;"Male";26;1;41;1;"< 1 Year";"No";39689;152;182;0
16198;"Female";73;1;28;0;"1-2 Year";"Yes";46043;122;102;1
16199;"Male";25;1;11;0;"< 1 Year";"Yes";29828;153;13;0
16200;"Female";23;1;45;1;"< 1 Year";"No";23086;26;46;0
16201;"Male";81;1;29;1;"< 1 Year";"No";39578;152;145;0
16202;"Female";22;1;13;0;"< 1 Year";"No";29301;152;62;0
16203;"Female";30;0;8;0;"1-2 Year";"Yes";22274;156;189;0
16204;"Female";55;1;23;1;"1-2 Year";"No";28139;124;175;0
16205;"Male";64;1;36;1;"1-2 Year";"No";38785;124;1365;0
16206;"Male";32;1;46;0;"1-2 Year";"Yes";26894;124;38;1
16207;"Male";36;1;28;0;"1-2 Year";"Yes";263000;124;165;1
16208;"Female";48;0;28;0;"1-2 Year";"Yes";42520;26;144;0
16209;"Male";39;1;39;0;"1-2 Year";"Yes";41767;124;80;0
16210;"Female";48;1;11;1;"1-2 Year";"No";35784;124;264;0
16211;"Male";47;1;28;0;"1-2 Year";"Yes";47139;55;281;0
16212;"Female";38;0;28;0;"1-2 Year";"Yes";23959;163;106;0
16213;"Female";34;1;0;1;"1-2 Year";"No";2630;7;237;0
16214;"Female";26;1;11;0;"< 1 Year";"Yes";42723;160;62;0
16215;"Male";23;1;17;1;"< 1 Year";"No";31155;152;4116;0
16216;"Female";43;0;28;0;"1-2 Year";"Yes";3104100;152;97;0
16217;"Female";23;1;8;0;"< 1 Year";"No";49387;152;276;0
16218;"Female";55;1;8;0;"> 2 Years";"Yes";32717;124;210;0
16219;"Female";41;0;28;0;"1-2 Year";"Yes";37429;124;277;0
16220;"Female";23;0;28;0;"< 1 Year";"Yes";32212;152;225;0
16221;"Female";40;0;7;0;"1-2 Year";"Yes";2630;124;125;0
16222;"Female";32;1;28;0;"< 1 Year";"Yes";36627;152;211;0
16223;"Female";47;1;46;0;"1-2 Year";"Yes";27770;26;209;0
16224;"Male";31;0;11;0;"< 1 Year";"Yes";2630;156;38;0
16225;"Male";24;0;41;0;"< 1 Year";"Yes";25034;152;87;0
16226;"Female";29;1;8;1;"< 1 Year";"No";42626;152;2241;0
16227;"Male";58;1;18;0;"1-2 Year";"Yes";31091;124;217;0
16228;"Male";50;1;46;0;"1-2 Year";"Yes";35846;26;241;1
16229;"Female";23;1;47;0;"< 1 Year";"Yes";36209;26;145;0
16230;"Male";45;1;24;0;"1-2 Year";"Yes";36639;145;146;1
16231;"Female";37;1;41;1;"1-2 Year";"Yes";2630;156;19;0
16232;"Female";22;1;8;0;"< 1 Year";"Yes";30659;152;102;0
16233;"Female";66;1;8;1;"1-2 Year";"No";36606;124;199;0
16234;"Female";65;1;40;1;"1-2 Year";"No";31912;26;43;0
16235;"Female";45;1;28;1;"1-2 Year";"No";34770;122;217;0
16236;"Male";54;1;23;0;"1-2 Year";"Yes";31054;26;280;1
16237;"Male";71;1;28;0;"> 2 Years";"Yes";43780;124;75;1
16238;"Female";22;1;26;0;"< 1 Year";"Yes";2630;152;728;0
16239;"Male";41;0;41;0;"1-2 Year";"Yes";29041;124;297;0
16240;"Female";28;1;34;1;"< 1 Year";"No";34606;152;28;0
16241;"Male";48;1;28;0;"1-2 Year";"Yes";42159;26;118;1
16242;"Male";58;1;30;1;"1-2 Year";"No";26400;152;102;0
16243;"Male";45;1;46;0;"1-2 Year";"Yes";49188;124;295;0
16244;"Female";41;0;28;0;"1-2 Year";"Yes";48755;124;49;0
16245;"Female";38;0;12;0;"1-2 Year";"Yes";2630;157;73;0
16246;"Male";66;1;28;0;"1-2 Year";"Yes";29535;124;2620;1
16247;"Female";37;0;26;0;"1-2 Year";"Yes";29340;156;235;0
16248;"Male";28;1;33;1;"< 1 Year";"No";29972;152;33;0
16249;"Male";31;1;33;0;"1-2 Year";"Yes";2630;156;56;1
16250;"Female";23;1;41;0;"1-2 Year";"Yes";42768;124;20;1
16251;"Male";53;1;28;0;"> 2 Years";"Yes";27767;124;197;1
16252;"Female";31;0;28;0;"< 1 Year";"Yes";46851;122;268;0
16253;"Male";25;1;30;0;"< 1 Year";"Yes";2630;156;169;0
16254;"Male";22;1;18;1;"< 1 Year";"No";2680300;152;292;0
16255;"Male";52;0;30;0;"1-2 Year";"Yes";25570;124;96;0
16256;"Female";23;1;3;1;"< 1 Year";"No";2630;160;75;0
16257;"Male";60;1;6;1;"1-2 Year";"No";26691;26;26;0
16258;"Male";32;1;50;1;"1-2 Year";"No";36668;124;123;0
16259;"Male";40;0;46;0;"1-2 Year";"Yes";31113;26;106;0
16260;"Female";65;1;20;0;"1-2 Year";"Yes";2630;133;63;1
16261;"Male";59;1;50;0;"1-2 Year";"Yes";31884;25;23;0
16262;"Female";29;1;28;1;"< 1 Year";"No";40092;152;214;0
16263;"Female";44;1;16;0;"1-2 Year";"Yes";29659;124;91;0
16264;"Female";35;0;41;0;"1-2 Year";"Yes";3800300;106;277;0
16265;"Male";20;1;2;1;"< 1 Year";"Yes";31529;160;287;0
16266;"Male";45;0;28;0;"1-2 Year";"Yes";43689;26;238;0
16267;"Male";22;1;47;0;"< 1 Year";"Yes";30594;152;150;0
16268;"Male";44;1;46;0;"1-2 Year";"Yes";33146;26;142;1
16269;"Male";61;1;28;1;"1-2 Year";"No";28488;26;24;0
16270;"Female";45;1;28;0;"1-2 Year";"Yes";27348;124;191;0
16271;"Male";40;1;29;0;"1-2 Year";"Yes";29721;26;237;0
16272;"Male";72;1;28;0;"1-2 Year";"Yes";32044;26;145;0
16273;"Female";22;1;46;1;"< 1 Year";"No";21749;152;95;0
16274;"Female";22;1;37;0;"< 1 Year";"Yes";23999;152;271;0
16275;"Female";21;1;13;0;"< 1 Year";"Yes";23001;160;116;0
16276;"Female";20;1;8;1;"< 1 Year";"No";37442;160;89;0
16277;"Male";27;1;36;0;"< 1 Year";"No";2630;152;251;0
16278;"Female";71;1;38;1;"1-2 Year";"No";33759;26;31;0
16279;"Male";23;1;29;1;"< 1 Year";"No";27308;152;98;0
16280;"Male";37;1;28;0;"1-2 Year";"Yes";38890;26;224;1
16281;"Male";33;0;28;0;"< 1 Year";"Yes";47597;124;104;0
16282;"Female";37;0;28;0;"1-2 Year";"Yes";29593;26;119;0
16283;"Male";62;0;41;0;"1-2 Year";"Yes";263000;163;113;0
16284;"Female";27;1;50;1;"< 1 Year";"No";28990;152;252;0
16285;"Male";53;1;28;0;"1-2 Year";"Yes";29517;122;184;1
16286;"Female";45;1;3;0;"1-2 Year";"Yes";37864;124;66;0
16287;"Male";38;0;41;0;"1-2 Year";"Yes";35232;157;154;0
16288;"Female";32;1;28;0;"< 1 Year";"No";39066;154;13;0
16289;"Male";60;1;34;0;"1-2 Year";"Yes";34270;26;149;0
16290;"Male";50;1;47;0;"1-2 Year";"Yes";35281;124;46;1
16291;"Male";52;1;36;0;"1-2 Year";"Yes";35130;26;89;0
16292;"Female";27;1;15;1;"< 1 Year";"No";38457;152;246;0
16293;"Female";27;1;30;1;"< 1 Year";"No";34684;152;36;0
16294;"Female";42;1;28;0;"1-2 Year";"Yes";34125;26;64;1
16295;"Male";38;1;43;0;"1-2 Year";"Yes";2630;16;201;1
16296;"Male";56;1;48;0;"1-2 Year";"Yes";2630;15;81;1
16297;"Female";34;0;28;0;"1-2 Year";"Yes";28293;26;246;0
16298;"Female";78;1;31;1;"1-2 Year";"No";2630;9;17;0
16299;"Female";46;1;28;0;"> 2 Years";"Yes";39915;125;46;1
16300;"Male";57;0;28;0;"1-2 Year";"Yes";28972;157;160;0
16301;"Male";23;1;44;0;"< 1 Year";"Yes";34176;152;219;0
16302;"Female";36;1;37;0;"1-2 Year";"Yes";2630;156;244;0
16303;"Female";47;1;16;0;"> 2 Years";"Yes";32058;31;206;1
16304;"Male";34;1;28;1;"1-2 Year";"No";44700;124;247;0
16305;"Male";40;1;8;1;"1-2 Year";"No";19521;4;180;0
16306;"Male";37;1;6;0;"1-2 Year";"Yes";31731;152;271;1
16307;"Female";47;1;28;0;"1-2 Year";"Yes";28815;26;97;1
16308;"Male";61;1;16;1;"1-2 Year";"No";2630;124;221;0
16309;"Male";23;1;37;1;"< 1 Year";"No";44563;152;2052;0
16310;"Female";44;0;8;0;"1-2 Year";"Yes";35448;124;178;0
16311;"Male";104;1;28;0;"> 2 Years";"Yes";47097;26;94;1
16312;"Female";21;1;36;1;"< 1 Year";"No";3471200;160;111;0
16313;"Male";62;0;4;0;"1-2 Year";"Yes";30738;26;1664;0
16314;"Female";29;1;41;0;"1-2 Year";"No";26149;157;198;0
16315;"Female";38;1;28;0;"1-2 Year";"Yes";28020;124;214;0
16316;"Male";43;0;28;0;"1-2 Year";"Yes";2630;26;239;0
16317;"Female";59;1;28;0;"1-2 Year";"No";2630;156;263;0
16318;"Male";76;1;28;0;"1-2 Year";"Yes";46844;26;199;0
16319;"Female";40;1;28;1;"1-2 Year";"No";31052;26;114;0
16320;"Male";42;0;28;0;"1-2 Year";"Yes";23979;122;128;0
16321;"Female";37;1;38;0;"1-2 Year";"Yes";31619;124;15;0
16322;"Male";22;1;34;0;"< 1 Year";"No";31094;152;46;0
16323;"Male";53;1;41;0;"1-2 Year";"Yes";44570;124;129;0
16324;"Female";48;1;8;0;"1-2 Year";"Yes";2630;124;87;0
16325;"Male";61;1;17;1;"1-2 Year";"No";33242;26;135;0
16326;"Male";23;1;46;0;"< 1 Year";"Yes";25046;152;86;1
16327;"Male";21;1;8;0;"< 1 Year";"Yes";35793;160;112;0
16328;"Female";34;1;41;0;"1-2 Year";"Yes";29038;152;51;0
16329;"Female";21;1;39;1;"< 1 Year";"No";2630;160;158;0
16330;"Male";24;1;13;1;"< 1 Year";"No";35689;152;41;0
16331;"Female";36;1;39;1;"1-2 Year";"No";27381;124;280;0
16332;"Male";105;1;33;0;"1-2 Year";"Yes";29677;26;138;0
16333;"Male";28;1;47;0;"< 1 Year";"Yes";29672;152;180;0
16334;"Male";51;0;28;0;"1-2 Year";"Yes";40209;13;19;0
16335;"Female";43;1;28;0;"1-2 Year";"Yes";3808600;122;14;1
16336;"Female";28;1;23;0;"< 1 Year";"Yes";30198;152;193;0
16337;"Female";24;1;45;0;"< 1 Year";"No";20946;152;90;0
16338;"Male";41;1;28;0;"1-2 Year";"Yes";2630;122;1692;0
16339;"Male";96;1;32;1;"1-2 Year";"No";31793;154;19;0
16340;"Male";46;1;28;0;"1-2 Year";"Yes";22856;124;79;1
16341;"Female";52;1;28;1;"1-2 Year";"No";44415;26;209;0
16342;"Female";27;0;41;0;"< 1 Year";"Yes";38530;152;54;0
16343;"Male";50;0;7;0;"1-2 Year";"Yes";42144;155;76;0
16344;"Male";50;0;28;0;"1-2 Year";"Yes";2630;124;291;0
16345;"Female";22;1;17;1;"< 1 Year";"No";43677;160;179;0
16346;"Female";71;1;28;0;"1-2 Year";"Yes";49766;124;120;1
16347;"Male";43;1;8;0;"1-2 Year";"Yes";23626;19;226;0
16348;"Female";36;1;46;0;"1-2 Year";"Yes";37858;157;216;1
16349;"Male";48;1;28;0;"1-2 Year";"Yes";26049;154;207;0
16350;"Male";80;0;28;0;"1-2 Year";"Yes";48670;124;62;0
16351;"Male";27;1;15;1;"< 1 Year";"No";29585;152;114;0
16352;"Female";26;1;31;0;"< 1 Year";"No";2630;152;252;0
16353;"Male";35;1;28;0;"1-2 Year";"Yes";263000;163;79;0
16354;"Male";88;1;38;0;"< 1 Year";"Yes";2630;156;77;0
16355;"Male";25;1;41;1;"< 1 Year";"No";42258;153;92;0
16356;"Male";45;0;28;0;"1-2 Year";"Yes";38909;155;106;0
16357;"Male";26;1;3;1;"< 1 Year";"No";40422;160;297;0
16358;"Female";54;1;48;0;"1-2 Year";"Yes";2630;26;159;1
16359;"Female";46;1;43;0;"1-2 Year";"Yes";2630;156;143;0
16360;"Male";56;1;19;0;"1-2 Year";"Yes";20475;26;127;1
16361;"Female";52;1;3;1;"1-2 Year";"No";2630;26;198;0
16362;"Male";39;0;28;0;"1-2 Year";"Yes";38669;154;812;0
16363;"Female";23;1;3;0;"< 1 Year";"Yes";39123;152;540;1
16364;"Female";39;1;28;0;"1-2 Year";"Yes";38795;26;130;1
16365;"Male";30;1;29;1;"< 1 Year";"No";36658;152;227;0
16366;"Female";24;1;3;1;"< 1 Year";"No";41508;152;276;0
16367;"Female";33;0;28;0;"1-2 Year";"Yes";41835;26;67;0
16368;"Male";48;1;30;0;"1-2 Year";"Yes";2630;124;13;1
16369;"Male";37;1;0;1;"1-2 Year";"No";2630;122;292;0
16370;"Male";42;0;28;0;"1-2 Year";"Yes";40074;26;100;0
16371;"Female";28;1;11;1;"< 1 Year";"No";31196;152;170;0
16372;"Female";32;1;28;0;"1-2 Year";"Yes";25821;124;106;1
16373;"Male";21;1;36;0;"< 1 Year";"Yes";32244;160;59;0
16374;"Female";23;1;28;0;"1-2 Year";"Yes";37896;26;48;1
16375;"Female";42;1;28;0;"1-2 Year";"Yes";263000;26;22;1
16376;"Male";40;1;39;0;"1-2 Year";"Yes";29840;124;50;1
16377;"Male";44;1;28;0;"1-2 Year";"Yes";29885;124;2277;0
16378;"Male";55;1;11;1;"1-2 Year";"No";27468;26;144;0
16379;"Female";21;1;6;1;"< 1 Year";"No";31283;152;112;0
16380;"Male";45;1;50;0;"1-2 Year";"Yes";31623;152;118;1
16381;"Male";45;1;8;0;"1-2 Year";"Yes";2630;156;278;0
16382;"Female";49;1;27;1;"1-2 Year";"No";29508;154;100;0
16383;"Male";28;1;8;1;"< 1 Year";"No";43320;152;135;0
16384;"Female";74;1;48;0;"1-2 Year";"Yes";2630;155;292;0
16385;"Male";62;1;30;1;"1-2 Year";"No";27095;119;227;0
16386;"Female";29;1;8;0;"< 1 Year";"Yes";29491;124;54;1
16387;"Female";36;0;28;0;"1-2 Year";"Yes";29496;26;116;0
16388;"Male";41;1;0;0;"1-2 Year";"Yes";2630;124;32;0
16389;"Female";36;1;41;0;"1-2 Year";"Yes";28365;136;104;1
16390;"Male";38;1;50;0;"1-2 Year";"Yes";25101;26;294;1
16391;"Male";39;1;14;0;"> 2 Years";"Yes";27598;124;129;0
16392;"Male";42;1;8;0;"1-2 Year";"Yes";47101;152;113;1
16393;"Female";44;1;35;1;"1-2 Year";"No";29906;26;109;0
16394;"Female";48;1;20;1;"1-2 Year";"No";2630;124;295;0
16395;"Male";36;1;10;0;"1-2 Year";"Yes";27318;124;255;0
16396;"Female";49;1;24;0;"1-2 Year";"Yes";20596;124;97;0
16397;"Male";22;0;6;0;"< 1 Year";"Yes";25806;152;118;0
16398;"Female";24;1;28;0;"< 1 Year";"Yes";36670;153;73;0
16399;"Male";43;1;1;1;"1-2 Year";"No";2630;26;174;0
16400;"Female";81;1;9;1;"< 1 Year";"No";34302;152;184;0
16401;"Female";23;1;13;0;"< 1 Year";"Yes";23935;152;1498;0
16402;"Male";25;1;11;0;"< 1 Year";"Yes";44735;152;34;1
16403;"Female";28;1;16;0;"< 1 Year";"Yes";29629;152;259;0
16404;"Male";22;1;6;1;"< 1 Year";"No";27571;152;196;0
16405;"Male";55;1;20;0;"1-2 Year";"Yes";2630;124;85;0
16406;"Male";26;1;12;1;"< 1 Year";"No";27670;152;68;0
16407;"Male";43;1;28;0;"1-2 Year";"Yes";37570;124;214;1
16408;"Male";65;1;28;0;"1-2 Year";"Yes";34251;124;118;1
16409;"Female";91;0;28;0;"1-2 Year";"Yes";2630;52;192;0
16410;"Male";26;1;41;1;"< 1 Year";"No";40231;152;24;0
16411;"Female";35;1;35;0;"1-2 Year";"Yes";2630;124;174;0
16412;"Female";23;1;3;1;"< 1 Year";"No";29674;152;297;0
16413;"Female";35;1;15;0;"1-2 Year";"Yes";35168;124;278;1
16414;"Male";38;0;28;0;"1-2 Year";"Yes";46519;124;99;0
16415;"Male";25;1;28;1;"< 1 Year";"No";43630;152;248;0
16416;"Male";30;1;28;0;"< 1 Year";"No";2630;1;145;0
16417;"Male";43;1;46;0;"1-2 Year";"Yes";28050;26;286;1
16418;"Male";25;1;21;1;"< 1 Year";"No";30236;152;187;0
16419;"Female";46;1;28;0;"1-2 Year";"Yes";27215;26;44;0
16420;"Male";23;1;8;1;"< 1 Year";"No";40929;152;187;0
16421;"Male";34;1;8;0;"1-2 Year";"Yes";37535;124;52;0
16422;"Male";25;0;29;0;"< 1 Year";"Yes";30608;152;30;0
16423;"Female";50;1;50;0;"1-2 Year";"Yes";38363;8;207;0
16424;"Female";77;1;13;0;"1-2 Year";"No";23037;124;207;0
16425;"Male";44;1;28;0;"1-2 Year";"Yes";263000;157;72;1
16426;"Female";27;1;44;0;"< 1 Year";"No";28614;152;228;0
16427;"Female";26;1;45;1;"< 1 Year";"No";25817;152;825;0
16428;"Female";48;1;28;1;"1-2 Year";"No";263000;26;42;0
16429;"Male";24;0;32;0;"< 1 Year";"Yes";2630;152;52;0
16430;"Female";35;1;8;0;"1-2 Year";"No";2630;156;282;0
16431;"Female";27;1;30;1;"< 1 Year";"No";2753700;152;191;0
16432;"Male";44;1;46;1;"1-2 Year";"No";25464;124;217;0
16433;"Female";42;1;33;0;"1-2 Year";"Yes";2630;156;23;0
16434;"Female";47;1;41;0;"1-2 Year";"Yes";36207;26;157;0
16435;"Male";61;1;8;0;"1-2 Year";"Yes";41589;124;77;1
16436;"Female";39;1;32;0;"1-2 Year";"No";27950;152;284;0
16437;"Male";42;1;47;0;"1-2 Year";"Yes";29214;157;109;1
16438;"Female";26;1;6;1;"< 1 Year";"No";24411;151;277;0
16439;"Female";37;1;14;0;"1-2 Year";"Yes";263000;156;183;1
16440;"Female";21;1;13;1;"< 1 Year";"No";27027;152;163;0
16441;"Male";63;1;28;0;"1-2 Year";"Yes";4185200;26;113;0
16442;"Female";28;1;18;0;"< 1 Year";"No";45449;152;106;1
16443;"Male";21;1;12;0;"< 1 Year";"Yes";26360;152;32;0
16444;"Female";23;1;20;1;"< 1 Year";"No";263000;152;53;0
16445;"Female";55;0;28;0;"1-2 Year";"Yes";2630;124;33;0
16446;"Male";69;1;28;1;"1-2 Year";"No";39176;26;59;0
16447;"Male";30;1;18;1;"1-2 Year";"Yes";35456;131;218;0
16448;"Female";70;1;28;0;"1-2 Year";"Yes";33084;26;255;0
16449;"Male";43;1;28;1;"1-2 Year";"Yes";39149;26;10;0
16450;"Male";51;1;2;0;"1-2 Year";"Yes";35337;124;50;0
16451;"Male";55;1;28;0;"> 2 Years";"Yes";43020;122;112;1
16452;"Female";41;1;28;0;"1-2 Year";"Yes";41376;26;232;1
16453;"Male";93;0;45;0;"< 1 Year";"Yes";2630;124;270;0
16454;"Female";22;1;50;0;"< 1 Year";"Yes";35348;152;135;1
16455;"Female";94;0;21;0;"1-2 Year";"Yes";24165;26;235;0
16456;"Male";64;0;28;0;"> 2 Years";"Yes";39391;124;45;0
16457;"Male";45;0;28;0;"1-2 Year";"Yes";41894;124;275;0
16458;"Female";40;0;2;0;"1-2 Year";"Yes";2630;157;267;0
16459;"Male";23;1;25;1;"< 1 Year";"No";27112;152;86;0
16460;"Female";24;1;50;0;"< 1 Year";"Yes";35478;153;224;1
16461;"Male";45;1;46;0;"1-2 Year";"Yes";22689;26;242;0
16462;"Male";35;1;28;0;"1-2 Year";"Yes";31065;124;116;0
16463;"Female";34;1;33;0;"1-2 Year";"Yes";2630;157;51;1
16464;"Female";43;0;16;0;"1-2 Year";"Yes";33058;124;163;0
16465;"Male";51;0;28;0;"1-2 Year";"Yes";41060;26;229;0
16466;"Male";65;0;46;0;"1-2 Year";"Yes";39170;124;133;0
16467;"Female";87;1;39;0;"1-2 Year";"Yes";2630;157;182;1
16468;"Female";27;1;35;1;"< 1 Year";"No";26739;152;283;0
16469;"Female";49;1;8;0;"1-2 Year";"Yes";41109;124;274;1
16470;"Male";24;1;10;0;"< 1 Year";"Yes";38229;152;17;0
16471;"Male";30;0;28;0;"< 1 Year";"Yes";47264;154;96;0
16472;"Male";24;1;35;0;"1-2 Year";"Yes";29685;124;162;1
16473;"Male";43;1;28;0;"1-2 Year";"Yes";36434;13;277;0
16474;"Male";34;1;3;0;"1-2 Year";"Yes";27331;26;117;1
16475;"Male";22;1;15;0;"< 1 Year";"Yes";35099;124;128;1
16476;"Female";23;1;10;1;"< 1 Year";"No";30392;152;33;0
16477;"Female";26;1;47;0;"< 1 Year";"No";35803;152;29;0
16478;"Female";27;1;28;1;"< 1 Year";"No";26368;152;286;0
16479;"Male";23;1;25;0;"< 1 Year";"Yes";22987;152;124;0
16480;"Female";30;1;7;0;"1-2 Year";"Yes";2630;163;255;1
16481;"Male";53;1;28;0;"1-2 Year";"Yes";37914;26;252;1
16482;"Male";26;1;37;1;"< 1 Year";"No";28498;152;79;0
16483;"Female";45;1;28;0;"1-2 Year";"Yes";21238;26;219;1
16484;"Female";50;1;28;0;"1-2 Year";"Yes";2630;13;2370;0
16485;"Female";22;1;41;0;"< 1 Year";"Yes";35587;152;209;1
16486;"Female";20;1;5;0;"< 1 Year";"Yes";24087;160;185;0
16487;"Male";45;1;28;0;"> 2 Years";"Yes";34825;26;232;1
16488;"Male";20;1;8;0;"< 1 Year";"Yes";40115;160;292;0
16489;"Male";26;1;47;1;"< 1 Year";"No";33353;152;62;0
16490;"Male";32;1;46;1;"1-2 Year";"No";2630;124;61;0
16491;"Male";64;1;28;0;"1-2 Year";"Yes";48876;124;247;1
16492;"Female";38;1;50;0;"1-2 Year";"Yes";24855;124;202;1
16493;"Male";74;1;3;1;"< 1 Year";"No";17327;152;185;0
16494;"Female";25;1;2;0;"< 1 Year";"Yes";33943;152;108;0
16495;"Female";60;1;15;1;"1-2 Year";"No";36393;152;57;0
16496;"Male";30;1;40;1;"1-2 Year";"No";26141;125;208;0
16497;"Female";21;1;50;1;"< 1 Year";"No";27681;160;134;0
16498;"Male";50;1;28;0;"1-2 Year";"Yes";31781;26;188;1
16499;"Female";26;1;8;1;"< 1 Year";"No";29253;152;218;0
16500;"Female";47;1;31;0;"1-2 Year";"Yes";2630;26;40;1
16501;"Female";22;1;15;0;"< 1 Year";"No";48542;152;237;0
16502;"Female";61;1;8;0;"1-2 Year";"Yes";38165;26;49;1
16503;"Female";41;1;41;0;"1-2 Year";"Yes";28858;124;120;0
16504;"Female";29;1;45;1;"< 1 Year";"No";27796;152;143;0
16505;"Female";26;1;35;0;"< 1 Year";"Yes";36790;152;58;1
16506;"Female";38;1;28;0;"1-2 Year";"Yes";30545;124;85;1
16507;"Female";62;1;50;1;"1-2 Year";"No";26034;8;236;0
16508;"Female";41;1;29;0;"1-2 Year";"Yes";30033;122;201;1
16509;"Male";23;1;41;0;"< 1 Year";"Yes";3428900;124;64;1
16510;"Male";22;1;36;0;"< 1 Year";"Yes";35816;152;132;0
16511;"Female";43;1;11;0;"1-2 Year";"Yes";17429;26;292;0
16512;"Male";64;1;28;1;"1-2 Year";"No";36672;122;231;0
16513;"Male";39;0;28;0;"1-2 Year";"Yes";2630;157;69;0
16514;"Female";22;1;36;1;"< 1 Year";"No";32210;152;274;0
16515;"Male";31;1;28;0;"1-2 Year";"Yes";35365;157;83;1
16516;"Female";22;1;9;1;"< 1 Year";"No";2630;160;48;0
16517;"Female";67;1;50;1;"1-2 Year";"No";30125;8;16;0
16518;"Female";35;1;9;0;"1-2 Year";"Yes";41217;26;167;0
16519;"Male";32;0;50;0;"< 1 Year";"Yes";2639200;26;257;0
16520;"Female";25;1;47;1;"< 1 Year";"No";42004;152;558;0
16521;"Female";52;1;28;0;"1-2 Year";"Yes";47628;122;228;1
16522;"Female";38;1;30;1;"1-2 Year";"No";2630;152;205;0
16523;"Male";26;1;28;0;"< 1 Year";"Yes";2630;152;228;1
16524;"Male";51;1;41;0;"1-2 Year";"Yes";37481;124;181;0
16525;"Male";20;1;50;1;"< 1 Year";"No";42832;160;72;0
16526;"Female";39;1;21;0;"1-2 Year";"Yes";21359;124;228;1
16527;"Male";41;1;3;0;"1-2 Year";"No";2630;156;56;0
16528;"Male";34;1;18;0;"1-2 Year";"Yes";2630;157;253;1
16529;"Male";23;1;32;1;"< 1 Year";"No";29213;26;282;0
16530;"Male";53;1;28;0;"1-2 Year";"Yes";22684;163;166;0
16531;"Female";38;1;28;0;"1-2 Year";"No";49210;124;229;0
16532;"Male";50;1;45;0;"1-2 Year";"Yes";2630;157;25;1
16533;"Male";38;0;50;0;"1-2 Year";"Yes";36966;8;52;0
16534;"Female";68;1;30;0;"1-2 Year";"Yes";38275;124;2304;1
16535;"Male";72;1;29;0;"> 2 Years";"Yes";263000;26;43;0
16536;"Female";30;1;28;0;"1-2 Year";"Yes";27972;124;133;0
16537;"Male";24;1;2;1;"< 1 Year";"No";34225;152;213;0
16538;"Male";61;1;20;0;"1-2 Year";"Yes";2630;26;61;1
16539;"Female";21;1;28;0;"< 1 Year";"Yes";3513500;156;96;0
16540;"Male";53;1;18;0;"1-2 Year";"Yes";31795;124;190;1
16541;"Female";39;1;35;1;"1-2 Year";"No";38346;26;31;0
16542;"Female";23;1;47;0;"< 1 Year";"Yes";28737;152;18;0
16543;"Male";28;1;7;0;"1-2 Year";"Yes";30267;163;71;1
16544;"Female";82;1;29;0;"< 1 Year";"Yes";2630;163;23;1
16545;"Female";28;1;10;1;"< 1 Year";"No";31765;152;30;0
16546;"Female";27;0;28;0;"< 1 Year";"Yes";2630;160;94;0
16547;"Male";82;1;46;0;"1-2 Year";"Yes";19645;124;54;1
16548;"Female";27;1;28;1;"< 1 Year";"No";31931;152;156;0
16549;"Female";35;0;28;0;"1-2 Year";"Yes";46102;124;880;0
16550;"Male";51;1;46;0;"1-2 Year";"Yes";23181;94;262;1
16551;"Female";20;1;8;0;"< 1 Year";"Yes";37328;160;114;0
16552;"Female";43;1;28;0;"1-2 Year";"Yes";35801;26;140;1
16553;"Male";38;1;24;0;"1-2 Year";"Yes";43803;124;14;0
16554;"Female";46;1;47;0;"1-2 Year";"Yes";36662;124;99;0
16555;"Female";31;0;38;0;"1-2 Year";"Yes";2630;156;81;0
16556;"Female";35;1;28;0;"1-2 Year";"Yes";36239;122;183;1
16557;"Male";57;1;39;1;"1-2 Year";"No";34295;26;213;0
16558;"Male";96;0;46;0;"1-2 Year";"Yes";47109;124;83;0
16559;"Female";40;0;46;0;"1-2 Year";"Yes";29868;124;236;0
16560;"Male";21;1;33;1;"< 1 Year";"No";33244;152;516;0
16561;"Male";43;1;41;0;"1-2 Year";"Yes";35278;124;157;1
16562;"Male";24;1;11;1;"< 1 Year";"No";32995;152;271;0
16563;"Male";44;1;28;0;"> 2 Years";"Yes";39035;124;44;1
16564;"Male";38;1;19;0;"1-2 Year";"Yes";29868;124;205;1
16565;"Female";45;1;28;0;"1-2 Year";"Yes";32076;26;214;1
16566;"Male";40;1;28;0;"1-2 Year";"Yes";3972500;124;68;0
16567;"Male";41;1;0;0;"1-2 Year";"Yes";2630;122;181;0
16568;"Male";36;1;30;0;"1-2 Year";"Yes";2630;124;220;0
16569;"Female";51;1;37;1;"1-2 Year";"No";2630;152;14;0
16570;"Female";41;0;28;0;"1-2 Year";"Yes";4406200;26;49;0
16571;"Male";41;1;46;0;"> 2 Years";"Yes";43734;124;127;1
16572;"Male";50;1;28;0;"1-2 Year";"Yes";49650;26;167;1
